lang,name,branch,x,y
idssegmented-avaransaltadialect,Avar (Ansalta dialect),Avar-Andic-Tsezic,-0.7212,0.2821
idssegmented-lezgian,Lezgian,Lezgic,0.6034,-1.1993
idssegmented-dargwa,Dargwa,Dargwic,1.4153,0.8830
idssegmented-avareastgergebildialect,Avar (East Gergebil dialect),Avar-Andic-Tsezic,-0.7199,0.2907
idssegmented-hinuq,Hinuq,Avar-Andic-Tsezic,-0.6254,0.3241
idssegmented-khwarshikwantladadialect,Khwarshi (Kwantlada dialect),Avar-Andic-Tsezic,-0.4098,0.1089
idssegmented-bezhta,Bezhta,Avar-Andic-Tsezic,-0.5124,0.0697
idssegmented-budukh,Budukh,Lezgic,0.6249,-1.1202
idssegmented-chechen,Chechen,Nakh,-0.0596,-1.1354
idssegmented-tabasarannortherndialectkhanagsubdialect,Tabasaran (Northern dialect Khanag subdialect),Lezgic,0.5378,-1.2460
idssegmented-chamalal,Chamalal,Avar-Andic-Tsezic,-1.0090,0.2603
idssegmented-dargwamegebdialect,Dargwa (Megeb dialect),Dargwic,0.8752,0.9069
idssegmented-khinalug,Khinalug,Daghestanian,0.4082,-1.1660
idssegmented-akhvakhnortherndialect,Akhvakh (Northern dialect),Avar-Andic-Tsezic,-1.1461,0.1901
idssegmented-tsovatush,Tsova-Tush,Nakh,0.0034,-1.0600
idssegmented-tindi,Tindi,Avar-Andic-Tsezic,-1.1453,0.3384
idssegmented-dargwagapshimadialect,Dargwa (Gapshima dialect),Dargwic,1.2403,0.7959
idssegmented-lakshalidialect,Lak (Shali dialect),Daghestanian,0.4226,-0.3774
idssegmented-andi,Andi,Avar-Andic-Tsezic,-0.8734,0.2973
idssegmented-bagvalal,Bagvalal,Avar-Andic-Tsezic,-0.9909,0.2079
idssegmented-dargwagapshimashuktidialect,Dargwa (Gapshima Shukti dialect),Dargwic,1.2365,0.8455
idssegmented-akhvakhsoutherndialect,Akhvakh (Southern dialect),Avar-Andic-Tsezic,-1.1477,-0.1048
idssegmented-dargwamuiridialect,Dargwa (Muiri dialect),Dargwic,1.1823,0.6810
idssegmented-rutul,Rutul,Lezgic,0.4414,-0.9674
idssegmented-avar,Avar,Avar-Andic-Tsezic,-0.9437,0.3838
idssegmented-hunzib,Hunzib,Avar-Andic-Tsezic,-0.5051,0.2622
idssegmented-karatatokitindialect,Karata (Tokitin dialect),Avar-Andic-Tsezic,-1.0656,0.2184
idssegmented-tsezmokokdialect,Tsez (Mokok dialect),Avar-Andic-Tsezic,-0.4703,0.3075
idssegmented-botlikhmiarsodialect,Botlikh (Miarso dialect),Avar-Andic-Tsezic,-1.0612,0.3790
idssegmented-avararaderikhdialect,Avar (Araderikh dialect),Avar-Andic-Tsezic,-0.7136,0.3596
idssegmented-ingush,Ingush,Nakh,-0.0754,-1.1001
idssegmented-godoberi,Godoberi,Avar-Andic-Tsezic,-0.8824,0.4729
idssegmented-lak,Lak,Daghestanian,0.4521,-0.3916
idssegmented-dargwakhajdakdialect,Dargwa (Khajdak dialect),Dargwic,1.0325,0.6233
idssegmented-karata,Karata,Avar-Andic-Tsezic,-1.1112,0.3483
wold-Bezhta,Bezhta,Avar-Andic-Tsezic,-0.5650,0.2343
idssegmented-kryz,Kryz,Lezgic,0.4885,-0.8157
idssegmented-dargwakadardialect,Dargwa (Kadar dialect),Dargwic,1.2984,0.7788
idssegmented-dargwagubdendialect,Dargwa (Gubden dialect),Dargwic,1.3905,0.7315
idssegmented-lezgimikrakhdialect,Lezgi (Mikrakh dialect),Lezgic,0.5849,-1.1879
idssegmented-tsakhur,Tsakhur,Lezgic,0.8391,-0.8314
idssegmented-dargwamekegidialect,Dargwa (Mekegi dialect),Dargwic,1.3726,0.8245
idssegmented-dargwamugidialect,Dargwa (Mugi dialect),Dargwic,1.3348,0.8114
idssegmented-botlikh,Botlikh,Avar-Andic-Tsezic,-0.9939,0.4518
idssegmented-chechenakkindialect,Chechen (Akkin dialect),Nakh,-0.0367,-0.9660
