Kwaio,Samasodu,Nggela,Mbirao,Lau North,Nduke,Vaghua,Kia,To'ambaita,Leleghia,To'ambaita,Malango,Sa'a (2),Dhadhaje
0.0000,3.0902,1.6923,1.5102,1.0132,2.4052,2.5149,3.0229,1.1040,3.3566,1.2063,1.4252,1.6287,3.3023
3.0902,0.0000,2.9043,2.9256,2.9558,2.8333,2.4787,1.5490,3.4348,2.2000,3.0500,2.8288,3.0185,3.2083
1.6923,2.9043,0.0000,1.3772,1.8699,2.0904,2.0000,2.3271,2.3235,2.8311,2.4340,1.4669,1.9027,1.2325
1.5102,2.9256,1.3772,0.0000,1.5779,2.0640,1.7395,2.7731,1.6024,3.0821,2.0705,0.7527,1.8358,2.2642
1.0132,2.9558,1.8699,1.5779,0.0000,2.3790,2.4607,2.6735,0.3355,3.1053,0.3137,1.2409,1.0110,2.5468
2.4052,2.8333,2.0904,2.0640,2.3790,0.0000,1.6689,2.5250,2.3269,2.4211,2.6875,2.0405,1.8448,2.5126
2.5149,2.4787,2.0000,1.7395,2.4607,1.6689,0.0000,2.3776,2.2400,2.8333,2.6795,2.1261,3.0337,3.0667
3.0229,1.5490,2.3271,2.7731,2.6735,2.5250,2.3776,0.0000,3.5682,2.5119,3.0777,2.4434,2.8667,2.3125
1.1040,3.4348,2.3235,1.6024,0.3355,2.3269,2.2400,3.5682,0.0000,4.1591,0.0734,1.7340,1.5567,3.3662
3.3566,2.2000,2.8311,3.0821,3.1053,2.4211,2.8333,2.5119,4.1591,0.0000,3.3786,2.8333,3.5152,1.3842
1.2063,3.0500,2.4340,2.0705,0.3137,2.6875,2.6795,3.0777,0.0734,3.3786,0.0000,1.6906,1.3294,3.4414
1.4252,2.8288,1.4669,0.7527,1.2409,2.0405,2.1261,2.4434,1.7340,2.8333,1.6906,0.0000,1.6480,1.9860
1.6287,3.0185,1.9027,1.8358,1.0110,1.8448,3.0337,2.8667,1.5567,3.5152,1.3294,1.6480,0.0000,2.8837
3.3023,3.2083,1.2325,2.2642,2.5468,2.5126,3.0667,2.3125,3.3662,1.3842,3.4414,1.9860,2.8837,0.0000
