Bulgarian,Romanian,Ancient Greek,Judeo-Tat,Serbo-Croatian,Seychelles Creole,Albanian (Tosk variety),Armenian (Eastern variety),Armenian (Western variety),Yiddish,Breton,Spanish,Lower Sorbian,Romani,Modern Greek,Portuguese,Jamaican Creole (Limonese Creole dialect),Selice Romani,Persian,Dutch,English,Hindi,Saramaccan,Old High German,Lithuanian,Negerhollands,Old Church Slavonic,Croatian,Romanian,Irish,Latvian,Italian,Ossetian,Portuguese,Western Farsi,French,Slovak,Spanish,Bulgarian,Northern Pashto,Standard Albanian,Dutch,Welsh,Swedish,Icelandic,Modern Greek,Czech,Catalan,Polish,Norwegian (Bokmål)
0.0000,2.9665,3.4184,3.4399,2.0313,3.2506,3.1717,3.6734,3.6209,3.1856,3.3123,3.4304,2.9444,3.1262,3.2984,3.3767,3.0180,3.1277,3.2083,3.2087,2.9771,3.3971,3.2087,3.3722,3.3494,2.9679,1.9602,1.6667,3.0299,3.4429,3.1559,3.1607,3.2762,3.4918,2.9472,3.4051,2.1001,3.4832,0.7894,3.6135,3.2777,3.0529,3.2007,3.0341,3.0164,3.2170,2.0927,3.1776,2.0276,2.9453
2.9665,0.0000,3.1954,3.4142,2.8487,2.8754,2.9121,3.5048,3.4916,3.0353,2.8196,2.6016,3.0973,2.7682,3.1882,2.6750,2.6153,3.1284,3.1806,2.7609,2.3720,3.3053,3.0717,3.2751,3.2165,2.7847,3.0176,2.6591,0.5946,3.4632,3.0869,1.9043,3.4890,2.3481,3.0351,2.5858,2.8247,1.7459,2.5576,3.3062,2.5731,2.6407,2.6077,2.6700,2.8252,2.9582,2.7414,1.9171,3.0363,2.5959
3.4184,3.1954,0.0000,3.5401,3.3156,3.3878,3.4216,3.6006,3.6332,3.4533,3.2664,3.3514,3.6826,3.3216,1.9580,3.3764,3.0209,3.4029,3.4146,3.2407,2.9849,3.4353,3.4202,3.5060,2.9407,3.0384,3.4174,3.2459,3.2238,3.7171,2.8440,3.3323,3.4567,3.3993,3.2012,3.4858,3.4136,3.1353,3.4272,3.7465,3.5777,3.0556,2.9488,2.9531,3.2158,1.8360,3.2085,3.3018,3.4813,2.9627
3.4399,3.4142,3.5401,0.0000,3.3330,3.3992,3.3053,3.4391,3.3952,3.3339,3.3597,3.4241,3.5947,3.3810,3.4690,3.3854,3.1324,3.3060,2.4315,3.3520,3.2497,2.7725,3.3438,3.5219,3.5168,3.0091,3.4040,3.1669,3.2232,3.5479,3.3522,3.1330,3.2075,3.3912,1.9747,3.5396,3.2629,3.2933,3.1845,2.4297,3.1257,2.9849,3.0198,2.9352,3.3728,3.3474,3.1693,3.2421,3.2901,2.8878
2.0313,2.8487,3.3156,3.3330,0.0000,3.1999,3.1421,3.5022,3.4750,3.0983,3.3128,3.3322,2.5697,2.9631,3.3384,3.2704,2.8544,3.0000,3.3567,3.0545,2.7637,3.2293,3.1591,3.2503,2.7489,2.9676,1.5666,0.7890,2.6094,3.4818,2.6114,3.1929,3.3822,3.3577,2.9957,3.1738,1.5335,3.2747,1.3771,3.5092,3.0309,2.7819,3.1495,2.6466,2.7730,3.3814,1.3173,3.1008,1.8536,2.6082
3.2506,2.8754,3.3878,3.3992,3.1999,0.0000,3.4512,3.6679,3.6722,3.3962,2.9359,2.7453,3.4027,3.4530,3.2793,2.8132,2.7131,3.2933,3.5237,3.1043,2.5977,3.4543,3.1219,3.4256,3.3642,3.2582,3.1398,3.1985,2.5517,3.7094,3.2996,2.3509,3.7520,2.5986,3.3309,1.0776,3.3776,2.3952,3.1877,3.6167,3.3117,3.2866,3.0842,3.1208,3.0423,3.4103,3.3975,2.3455,3.3033,3.0488
3.1717,2.9121,3.4216,3.3053,3.1421,3.4512,0.0000,3.4609,3.4372,3.1648,3.1995,3.1177,3.6201,3.2875,3.2334,3.2550,3.0211,3.1820,3.3471,3.2281,3.0663,3.1572,3.3687,3.2553,3.5270,3.0598,3.1764,2.9982,2.8543,3.6047,3.2418,2.8521,3.3278,2.8954,3.1381,3.5809,3.6204,2.8337,3.1622,3.2463,0.9504,3.1069,3.1756,2.9977,3.1483,3.1060,3.1366,2.7489,3.3702,2.9918
3.6734,3.5048,3.6006,3.4391,3.5022,3.6679,3.4609,0.0000,0.8873,3.4409,3.5862,3.3694,3.8892,3.4806,3.6049,3.4281,3.5103,3.3903,3.3788,3.5840,3.4827,3.5160,3.5659,3.4489,3.7685,3.4393,3.6219,3.4526,3.2970,3.8222,3.5725,3.3943,3.4560,3.2145,3.0851,3.6854,3.9466,3.2422,3.5276,3.2060,3.5519,3.2437,3.2101,3.3656,3.3857,3.5913,3.4819,3.4221,3.5585,3.0102
3.6209,3.4916,3.6332,3.3952,3.4750,3.6722,3.4372,0.8873,0.0000,3.4635,3.5673,3.3514,3.8963,3.4883,3.5882,3.4025,3.4810,3.3941,3.3901,3.5822,3.4661,3.5503,3.5171,3.4485,3.8114,3.4800,3.5895,3.3974,3.3294,3.7111,3.5095,3.4254,3.3248,3.2123,3.3087,3.6602,3.8382,3.1930,3.4548,3.1987,3.4261,3.3105,3.3087,3.4685,3.5546,3.5689,3.4386,3.4811,3.4908,3.2398
3.1856,3.0353,3.4533,3.3339,3.0983,3.3962,3.1648,3.4409,3.4635,0.0000,3.0974,3.2514,3.2776,3.2399,3.4452,3.3490,2.5235,2.9551,3.2878,2.1289,2.3408,3.3724,3.1068,1.8280,3.4598,2.1282,3.1691,3.0015,2.9032,3.2019,3.3702,2.9124,3.0753,3.0686,2.9113,3.5681,3.2210,3.0874,3.0502,3.2105,3.3643,1.5080,3.1584,1.6310,2.1752,3.3137,2.9539,3.0722,2.8232,1.6574
