src,dst,dist
Bulgarian,Bulgarian,0.789
Bulgarian,Croatian,1.667
Bulgarian,Old Church Slavonic,1.96
Romanian,Romanian,0.595
Romanian,Spanish,1.746
Romanian,Italian,1.904
Ancient Greek,Modern Greek,1.836
Ancient Greek,Modern Greek,1.958
Ancient Greek,Latvian,2.844
Judeo-Tat,Western Farsi,1.975
Judeo-Tat,Northern Pashto,2.43
Judeo-Tat,Persian,2.431
Serbo-Croatian,Croatian,0.789
Serbo-Croatian,Czech,1.317
Serbo-Croatian,Bulgarian,1.377
Seychelles Creole,French,1.078
Seychelles Creole,Catalan,2.346
Seychelles Creole,Italian,2.351
Albanian (Tosk variety),Standard Albanian,0.95
Albanian (Tosk variety),Catalan,2.749
Albanian (Tosk variety),Spanish,2.834
Armenian (Eastern variety),Armenian (Western variety),0.887
Armenian (Eastern variety),Norwegian (Bokmål),3.01
Armenian (Eastern variety),Western Farsi,3.085
Armenian (Western variety),Armenian (Eastern variety),0.887
Armenian (Western variety),Spanish,3.193
Armenian (Western variety),Northern Pashto,3.199
Yiddish,Dutch,1.508
Yiddish,Swedish,1.631
Yiddish,Norwegian (Bokmål),1.657
Breton,Welsh,1.449
Breton,Italian,2.207
Breton,Catalan,2.354
Spanish,Spanish,0.462
Spanish,Italian,1.23
Spanish,Portuguese,1.294
Lower Sorbian,Polish,1.603
Lower Sorbian,Slovak,1.818
Lower Sorbian,Czech,1.902
Romani,Romanian,2.427
Romani,Selice Romani,2.508
Romani,Romanian,2.768
Modern Greek,Modern Greek,0.631
Modern Greek,Ancient Greek,1.958
Modern Greek,Jamaican Creole (Limonese Creole dialect),2.968
Portuguese,Portuguese,0.679
Portuguese,Spanish,1.112
Portuguese,Italian,1.255
Jamaican Creole (Limonese Creole dialect),English,0.504
Jamaican Creole (Limonese Creole dialect),Norwegian (Bokmål),1.251
Jamaican Creole (Limonese Creole dialect),Dutch,1.28
Selice Romani,Romani,2.508
Selice Romani,Western Farsi,2.772
Selice Romani,English,2.908
Persian,Western Farsi,0.444
Persian,Northern Pashto,1.881
Persian,Hindi,2.119
Dutch,Dutch,0.284
Dutch,Norwegian (Bokmål),0.987
Dutch,Swedish,1.069
English,Jamaican Creole (Limonese Creole dialect),0.504
English,Norwegian (Bokmål),1.176
English,Dutch,1.258
Hindi,Persian,2.119
Hindi,Western Farsi,2.427
Hindi,Judeo-Tat,2.773
Saramaccan,English,2.12
Saramaccan,Dutch,2.154
Saramaccan,Negerhollands,2.185
Old High German,Norwegian (Bokmål),1.097
Old High German,Dutch,1.187
Old High German,Swedish,1.356
Lithuanian,Latvian,2.127
Lithuanian,Old Church Slavonic,2.544
Lithuanian,Serbo-Croatian,2.749
Negerhollands,Dutch,0.835
Negerhollands,Norwegian (Bokmål),1.151
Negerhollands,Dutch,1.259
Old Church Slavonic,Croatian,1.077
Old Church Slavonic,Czech,1.144
Old Church Slavonic,Bulgarian,1.277
Croatian,Serbo-Croatian,0.789
Croatian,Old Church Slavonic,1.077
Croatian,Bulgarian,1.532
Romanian,Romanian,0.595
Romanian,Italian,1.891
Romanian,Spanish,1.974
Irish,Jamaican Creole (Limonese Creole dialect),2.737
Irish,English,2.901
Irish,Breton,2.949
Latvian,Lithuanian,2.127
Latvian,Old Church Slavonic,2.455
Latvian,Czech,2.468
Italian,Spanish,1.068
Italian,Spanish,1.23
Italian,Portuguese,1.255
Ossetian,Persian,2.677
Ossetian,Western Farsi,2.834
Ossetian,Old High German,3.024
Portuguese,Portuguese,0.679
Portuguese,Spanish,1.127
Portuguese,Spanish,1.294
Western Farsi,Persian,0.444
Western Farsi,Judeo-Tat,1.975
Western Farsi,Northern Pashto,2.071
French,Seychelles Creole,1.078
French,Italian,2.414
French,Portuguese,2.574
Slovak,Czech,0.978
Slovak,Old Church Slavonic,1.357
Slovak,Polish,1.507
Spanish,Spanish,0.462
Spanish,Italian,1.068
Spanish,Portuguese,1.112
Bulgarian,Bulgarian,0.789
Bulgarian,Old Church Slavonic,1.277
Bulgarian,Serbo-Croatian,1.377
Northern Pashto,Persian,1.881
Northern Pashto,Western Farsi,2.071
Northern Pashto,Judeo-Tat,2.43
Standard Albanian,Albanian (Tosk variety),0.95
Standard Albanian,Romanian,2.573
Standard Albanian,Italian,2.619
Dutch,Dutch,0.284
Dutch,Negerhollands,0.835
Dutch,Norwegian (Bokmål),1.136
Welsh,Breton,1.449
Welsh,Jamaican Creole (Limonese Creole dialect),2.252
Welsh,English,2.502
Swedish,Norwegian (Bokmål),0.462
Swedish,Dutch,1.069
Swedish,English,1.296
Icelandic,Norwegian (Bokmål),1.24
Icelandic,Old High German,1.462
Icelandic,English,1.465
Modern Greek,Modern Greek,0.631
Modern Greek,Ancient Greek,1.836
Modern Greek,English,2.769
Czech,Slovak,0.978
Czech,Old Church Slavonic,1.144
Czech,Serbo-Croatian,1.317
Catalan,Spanish,1.188
Catalan,Spanish,1.34
Catalan,Italian,1.374
Polish,Slovak,1.507
Polish,Lower Sorbian,1.603
Polish,Czech,1.677
Norwegian (Bokmål),Swedish,0.462
Norwegian (Bokmål),Dutch,0.987
Norwegian (Bokmål),Old High German,1.097
