doculect_a,doculect_b,d,n_coderivative_sets,n_shared_concepts,n_consonant_slots,n_gaps,gap_slot_ratio
idssegmented-bulgarian,wold-Romanian,2.982,1520,680,3837,2505,0.395
idssegmented-bulgarian,idssegmented-ancientgreek,3.3994,2028,770,5310,3593,0.4036
idssegmented-bulgarian,idssegmented-judeotat,3.4355,1221,541,3063,2124,0.4095
idssegmented-bulgarian,idssegmented-serbocroatian,1.8902,1964,872,5681,2563,0.3109
idssegmented-bulgarian,wold-SeychellesCreole,3.2978,1505,671,3388,3047,0.4735
idssegmented-bulgarian,idssegmented-albaniantoskvariety,3.1642,1459,659,3757,2585,0.4076
idssegmented-bulgarian,idssegmented-armenianeasternvariety,3.7018,1576,665,4273,2810,0.3967
idssegmented-bulgarian,idssegmented-armenianwesternvariety,3.6817,1650,717,4414,2913,0.3976
idssegmented-bulgarian,idssegmented-yiddish,3.1434,1668,764,4923,2882,0.3693
idssegmented-bulgarian,idssegmented-breton,3.2526,1182,580,3123,2161,0.409
idssegmented-bulgarian,keypano-Spanish,3.4093,1773,807,4823,2855,0.3718
idssegmented-bulgarian,wold-LowerSorbian,2.8444,1270,717,3490,1950,0.3585
idssegmented-bulgarian,idssegmented-romani,3.1363,1269,635,3228,2472,0.4337
idssegmented-bulgarian,idssegmented-moderngreek,3.238,1682,804,4496,3049,0.4041
idssegmented-bulgarian,keypano-Portuguese,3.3738,1609,758,4206,2600,0.382
idssegmented-bulgarian,idssegmented-jamaicancreolelimonesecreoledialect,2.93,817,449,1814,1813,0.4999
idssegmented-bulgarian,wold-SeliceRomani,3.1115,1127,554,3131,1973,0.3866
idssegmented-bulgarian,idssegmented-persian,3.3006,957,479,2455,1632,0.3993
idssegmented-bulgarian,wold-Dutch,3.1571,1121,657,2940,2083,0.4147
idssegmented-bulgarian,wold-English,2.9923,1042,604,2480,2288,0.4799
idssegmented-bulgarian,northeuralex-hin,3.4533,433,221,1017,706,0.4098
idssegmented-bulgarian,wold-Saramaccan,3.3156,571,350,1112,1244,0.528
idssegmented-bulgarian,wold-OldHighGerman,3.2696,869,514,2240,1337,0.3738
idssegmented-bulgarian,northeuralex-lit,3.1263,322,195,887,504,0.3623
idssegmented-bulgarian,idssegmented-negerhollands,2.9745,680,309,1488,1367,0.4788
idssegmented-bulgarian,idssegmented-oldchurchslavonic,1.9488,1085,531,3085,1532,0.3318
idssegmented-bulgarian,northeuralex-hrv,1.4444,511,331,1422,574,0.2876
idssegmented-bulgarian,northeuralex-ron,2.9454,394,235,971,582,0.3748
idssegmented-bulgarian,northeuralex-gle,3.5956,271,159,643,506,0.4404
idssegmented-bulgarian,northeuralex-lav,2.993,393,224,999,620,0.383
idssegmented-bulgarian,northeuralex-ita,3.2293,337,201,798,507,0.3885
idssegmented-bulgarian,northeuralex-oss,3.1885,251,143,626,399,0.3893
idssegmented-bulgarian,northeuralex-por,3.3796,461,254,1188,712,0.3747
idssegmented-bulgarian,northeuralex-pes,3.0574,236,147,680,442,0.3939
idssegmented-bulgarian,northeuralex-fra,3.2171,403,241,912,723,0.4422
idssegmented-bulgarian,northeuralex-slk,1.9301,488,304,1360,536,0.2827
idssegmented-bulgarian,northeuralex-spa,3.3845,382,227,983,607,0.3818
idssegmented-bulgarian,northeuralex-bul,0.6542,542,381,1582,324,0.17
idssegmented-bulgarian,northeuralex-pbu,3.4255,241,153,604,368,0.3786
idssegmented-bulgarian,northeuralex-sqi,3.0822,335,190,852,606,0.4156
idssegmented-bulgarian,northeuralex-nld,3.1167,361,232,908,572,0.3865
idssegmented-bulgarian,northeuralex-cym,3.4369,228,148,547,318,0.3676
idssegmented-bulgarian,northeuralex-swe,3.0164,324,193,794,545,0.407
idssegmented-bulgarian,northeuralex-isl,3.0208,249,176,626,378,0.3765
idssegmented-bulgarian,northeuralex-ell,3.0802,445,259,1159,723,0.3842
idssegmented-bulgarian,northeuralex-ces,1.7692,446,293,1239,474,0.2767
idssegmented-bulgarian,northeuralex-cat,3.1592,329,201,760,539,0.4149
idssegmented-bulgarian,northeuralex-pol,1.9944,443,298,1066,510,0.3236
idssegmented-bulgarian,northeuralex-nor,2.8731,299,187,717,505,0.4133
wold-Romanian,idssegmented-ancientgreek,3.2062,1426,687,3419,2640,0.4357
wold-Romanian,idssegmented-judeotat,3.5023,995,541,2371,1739,0.4231
wold-Romanian,idssegmented-serbocroatian,2.8765,1211,629,2979,1975,0.3987
wold-Romanian,wold-SeychellesCreole,2.8204,1218,691,2645,2356,0.4711
wold-Romanian,idssegmented-albaniantoskvariety,2.844,973,561,2295,1619,0.4136
wold-Romanian,idssegmented-armenianeasternvariety,3.4939,884,512,2041,1652,0.4473
wold-Romanian,idssegmented-armenianwesternvariety,3.4787,940,544,2133,1738,0.449
wold-Romanian,idssegmented-yiddish,3.0486,1025,612,2636,1700,0.3921
wold-Romanian,idssegmented-breton,2.9171,892,531,2112,1568,0.4261
wold-Romanian,keypano-Spanish,2.5061,1206,692,3039,1996,0.3964
wold-Romanian,wold-LowerSorbian,3.1419,885,592,2156,1431,0.3989
wold-Romanian,idssegmented-romani,2.7209,829,506,1960,1282,0.3954
wold-Romanian,idssegmented-moderngreek,3.1124,1134,676,2839,1990,0.4121
wold-Romanian,keypano-Portuguese,2.6033,1048,645,2493,1674,0.4017
wold-Romanian,idssegmented-jamaicancreolelimonesecreoledialect,2.4106,640,423,1371,1235,0.4739
wold-Romanian,wold-SeliceRomani,3.1218,827,536,1954,1390,0.4157
wold-Romanian,idssegmented-persian,3.2545,648,411,1513,1125,0.4265
wold-Romanian,wold-Dutch,2.7152,888,655,2226,1521,0.4059
wold-Romanian,wold-English,2.3022,862,632,1999,1698,0.4593
wold-Romanian,northeuralex-hin,3.3088,233,171,489,341,0.4108
wold-Romanian,wold-Saramaccan,3.2141,482,373,911,937,0.507
wold-Romanian,wold-OldHighGerman,3.1413,554,435,1246,883,0.4147
wold-Romanian,northeuralex-lit,3.4031,206,165,521,308,0.3715
wold-Romanian,idssegmented-negerhollands,2.7543,426,262,867,829,0.4888
wold-Romanian,idssegmented-oldchurchslavonic,3.0385,682,396,1637,1122,0.4067
wold-Romanian,northeuralex-hrv,2.8053,241,193,524,336,0.3907
wold-Romanian,northeuralex-ron,0.5254,425,336,1180,343,0.2252
wold-Romanian,northeuralex-gle,3.1361,165,137,338,292,0.4635
wold-Romanian,northeuralex-lav,3.1646,244,191,565,382,0.4034
wold-Romanian,northeuralex-ita,1.7941,268,225,607,302,0.3322
wold-Romanian,northeuralex-oss,3.3484,144,123,310,229,0.4249
wold-Romanian,northeuralex-por,2.4009,297,230,696,454,0.3948
wold-Romanian,northeuralex-pes,3.2177,127,112,294,200,0.4049
wold-Romanian,northeuralex-fra,2.6055,247,192,512,428,0.4553
wold-Romanian,northeuralex-slk,3.0416,217,180,481,333,0.4091
wold-Romanian,northeuralex-spa,2.0078,263,216,637,380,0.3736
