concept,cogid,form_a,form_b,seg_a,seg_b,differing_features
accuse,31,akusaɾ,ɐkuzaɾ,s,z,voi
accuse,31,denunθjaɾ,ɐkuzaɾ,n,k,"voi,nas,ant,cor,back,hi,son"
accuse,31,denunθjaɾ,ɐkuzaɾ,θ,z,"voi,strid"
acorn,76,beʎota,bulɔtɐ,ʎ,l,"ant,hi"
admit,152,aðmitiɾ,kõfɨsaɾ,m,f,"cont,voi,nas,strid,son"
admit,152,aðmitiɾ,kõfɨsaɾ,t,s,"cont,strid"
admit,152,aðmitiɾ,ɐdmitiɾ,ð,d,cont
admit,152,komfesaɾ,ɐdmitiɾ,f,m,"cont,voi,nas,strid,son"
admit,152,komfesaɾ,ɐdmitiɾ,m,d,"nas,cor,lab,son"
admit,152,komfesaɾ,ɐdmitiɾ,s,t,"cont,strid"
admit,152,rekonoθɛɾ,kõfɨsaɾ,n,f,"cont,voi,nas,cor,lab,strid,son"
admit,152,rekonoθɛɾ,kõfɨsaɾ,θ,s,strid
admit,152,rekonoθɛɾ,ɐdmitiɾ,k,d,"voi,ant,cor,back,hi"
admit,152,rekonoθɛɾ,ɐdmitiɾ,n,m,"cor,lab"
admit,152,rekonoθɛɾ,ɐdmitiɾ,θ,t,cont
adobe,187,aðoβe,ɐdɔbɨ,ð,d,cont
adobe,187,aðoβe,ɐdɔbɨ,β,b,cont
adultery,208,aðultɛɾjo,ɐdulˠtɛɾju,l,lˠ,hi
adultery,208,aðultɛɾjo,ɐdulˠtɛɾju,ð,d,cont
again,353,otɾa+βɛθ,otɾɐ+veʃ,β,v,strid
again,353,otɾa+βɛθ,otɾɐ+veʃ,θ,ʃ,"ant,strid"
again,401,de+nweβo,dɨ+nɔvu,β,v,strid
alcoholfermenteddrink,492,beβiða+fɛɾmentaða,bɨbidɐ+fɨɾmẽtadɐ,ð,d,cont
alcoholfermenteddrink,492,beβiða+fɛɾmentaða,bɨbidɐ+fɨɾmẽtadɐ,ð,d,cont
alcoholfermenteddrink,492,beβiða+fɛɾmentaða,bɨbidɐ+fɨɾmẽtadɐ,β,b,cont
alloworpermit,604,dexaɾ,dɐiʃaɾ,x,ʃ,"cor,back,strid,hi"
alloworpermit,604,dexaɾ,pɨɾmitiɾ,d,p,"voi,cor,lab"
alloworpermit,604,dexaɾ,pɨɾmitiɾ,x,t,"cont,ant,cor,back,hi"
alloworpermit,604,pɛɾmitiɾ,dɐiʃaɾ,p,d,"voi,cor,lab"
alloworpermit,604,pɛɾmitiɾ,dɐiʃaɾ,t,ʃ,"cont,ant,strid"
ambush,764,aθetʃaɾ,ẽbuʃkadɐ,ɾ,d,"cont,hi,lo,son"
ambush,764,aθetʃaɾ,ẽbuʃkadɐ,θ,b,"cont,voi,cor,lab"
ancestors,803,antepasaðos,ɐ̃sɨʃtɾaiʃ,p,ʃ,"cont,ant,cor,lab,strid"
ancestors,803,antepasaðos,ɐ̃sɨʃtɾaiʃ,s,t,"cont,strid"
ancestors,803,antepasaðos,ɐ̃sɨʃtɾaiʃ,s,ʃ,ant
ancestors,803,antepasaðos,ɐ̃sɨʃtɾaiʃ,t,s,"cont,strid"
ancestors,803,antepasaðos,ɐ̃sɨʃtɾaiʃ,ð,ɾ,"hi,lo,son"
ancestors,803,antepasaðos,ɐ̃tɨpɐsaduʃ,s,ʃ,ant
ancestors,803,antepasaðos,ɐ̃tɨpɐsaduʃ,ð,d,cont
anchor,833,ankla,ɐ̃kuɾɐ,l,ɾ,"hi,lo"
